id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
9375,1,1,0.500000,0.500000,2
1184,3,1,0.750000,0.250000,4
9377,1,2,0.333333,0.666667,3
1188,11,1,0.916667,0.083333,12
9383,20,6,0.769231,0.230769,26
9386,4,2,0.666667,0.333333,6
9387,68,33,0.673267,0.326733,101
9392,2,0,1.000000,0.000000,2
9396,4,1,0.800000,0.200000,5
9407,3,2,0.600000,0.400000,5
9409,9,25,0.264706,0.735294,34
9410,9,10,0.473684,0.526316,19
9411,1,1,0.500000,0.500000,2
9412,25,91,0.215517,0.784483,116
9415,8,6,0.571429,0.428571,14
9416,0,10,0.000000,1.000000,10
9426,1,3,0.250000,0.750000,4
9429,1,1,0.500000,0.500000,2
9431,26,9,0.742857,0.257143,35
1253,13,6,0.684211,0.315789,19
8401,2,11,0.153846,0.846154,13
9448,1,0,1.000000,0.000000,1
9449,28,68,0.291667,0.708333,96
9454,17,6,0.739130,0.260870,23
9455,1,12,0.076923,0.923077,13
1269,10,14,0.416667,0.583333,24
1271,2,4,0.333333,0.666667,6
9466,1,2,0.333333,0.666667,3
9473,5,2,0.714286,0.285714,7
9475,1,0,1.000000,0.000000,1
9480,2,0,1.000000,0.000000,2
9483,6,10,0.375000,0.625000,16
9485,11,9,0.550000,0.450000,20
9488,58,34,0.630435,0.369565,92
9493,2,1,0.666667,0.333333,3
9497,1,2,0.333333,0.666667,3
9499,27,19,0.586957,0.413043,46
9500,21,5,0.807692,0.192308,26
1322,9,8,0.529412,0.470588,17
9778,13,1,0.928571,0.071429,14
1326,0,2,0.000000,1.000000,2
9520,62,17,0.784810,0.215190,79
9521,1,1,0.500000,0.500000,2
1330,2,6,0.250000,0.750000,8
1333,1,5,0.166667,0.833333,6
9528,2,4,0.333333,0.666667,6
9531,1,0,1.000000,0.000000,1
9536,4,8,0.333333,0.666667,12
9545,50,30,0.625000,0.375000,80
9546,2,1,0.666667,0.333333,3
9550,4,10,0.285714,0.714286,14
9552,44,29,0.602740,0.397260,73
9554,3,14,0.176471,0.823529,17
9556,1,0,1.000000,0.000000,1
9560,55,40,0.578947,0.421053,95
9561,1,1,0.500000,0.500000,2
9563,14,13,0.518519,0.481481,27
9565,1,2,0.333333,0.666667,3
9569,35,82,0.299145,0.700855,117
9571,4,5,0.444444,0.555556,9
9577,3,5,0.375000,0.625000,8
9581,2,2,0.500000,0.500000,4
9583,1,12,0.076923,0.923077,13
1394,5,6,0.454545,0.545455,11
1395,3,0,1.000000,0.000000,3
1397,5,4,0.555556,0.444444,9
9596,1,1,0.500000,0.500000,2
9598,1,2,0.333333,0.666667,3
9599,2,15,0.117647,0.882353,17
9601,1,8,0.111111,0.888889,9
9605,0,4,0.000000,1.000000,4
9608,13,4,0.764706,0.235294,17
1419,49,18,0.731343,0.268657,67
1422,2,6,0.250000,0.750000,8
9617,0,2,0.000000,1.000000,2
9623,3,1,0.750000,0.250000,4
9624,36,68,0.346154,0.653846,104
9625,2,3,0.400000,0.600000,5
9626,3,2,0.600000,0.400000,5
1441,28,8,0.777778,0.222222,36
1446,8,14,0.363636,0.636364,22
9642,1,0,1.000000,0.000000,1
1452,4,3,0.571429,0.428571,7
9645,28,65,0.301075,0.698925,93
9647,20,30,0.400000,0.600000,50
1456,67,30,0.690722,0.309278,97
11166,7,6,0.538462,0.461538,13
9658,1,0,1.000000,0.000000,1
9659,29,24,0.547170,0.452830,53
1468,2,0,1.000000,0.000000,2
9664,17,13,0.566667,0.433333,30
9665,3,5,0.375000,0.625000,8
9669,8,6,0.571429,0.428571,14
9680,2,16,0.111111,0.888889,18
9683,34,25,0.576271,0.423729,59
9684,47,45,0.510870,0.489130,92
9686,2,6,0.250000,0.750000,8
9691,0,4,0.000000,1.000000,4
9692,31,56,0.356322,0.643678,87
9698,6,8,0.428571,0.571429,14
9700,6,8,0.428571,0.571429,14
9702,2,0,1.000000,0.000000,2
9705,4,1,0.800000,0.200000,5
9706,0,8,0.000000,1.000000,8
9708,51,51,0.500000,0.500000,102
1523,0,2,0.000000,1.000000,2
9719,26,2,0.928571,0.071429,28
9722,1,1,0.500000,0.500000,2
1534,5,1,0.833333,0.166667,6
9729,0,7,0.000000,1.000000,7
9730,5,4,0.555556,0.444444,9
9731,3,23,0.115385,0.884615,26
1549,20,11,0.645161,0.354839,31
9746,19,4,0.826087,0.173913,23
1555,2,0,1.000000,0.000000,2
9749,5,7,0.416667,0.583333,12
9751,6,34,0.150000,0.850000,40
9752,0,1,0.000000,1.000000,1
9755,2,7,0.222222,0.777778,9
9765,8,3,0.727273,0.272727,11
9768,19,2,0.904762,0.095238,21
9770,1,1,0.500000,0.500000,2
9777,1,1,0.500000,0.500000,2
1586,1,0,1.000000,0.000000,1
9782,7,2,0.777778,0.222222,9
9788,2,25,0.074074,0.925926,27
1603,65,30,0.684211,0.315789,95
1605,34,26,0.566667,0.433333,60
1607,50,59,0.458716,0.541284,109
1616,16,3,0.842105,0.157895,19
9810,1,1,0.500000,0.500000,2
9811,6,6,0.500000,0.500000,12
9828,12,22,0.352941,0.647059,34
1627,46,44,0.511111,0.488889,90
9820,7,8,0.466667,0.533333,15
1633,3,9,0.250000,0.750000,12
1636,11,13,0.458333,0.541667,24
9835,7,1,0.875000,0.125000,8
9836,1,12,0.076923,0.923077,13
9839,2,0,1.000000,0.000000,2
9846,36,57,0.387097,0.612903,93
9847,25,17,0.595238,0.404762,42
1657,9,6,0.600000,0.400000,15
1660,2,0,1.000000,0.000000,2
9853,2,2,0.500000,0.500000,4
9865,1,2,0.333333,0.666667,3
9869,1,0,1.000000,0.000000,1
1678,52,24,0.684211,0.315789,76
1687,0,1,0.000000,1.000000,1
1690,7,1,0.875000,0.125000,8
9885,2,3,0.400000,0.600000,5
1699,30,38,0.441176,0.558824,68
9894,4,2,0.666667,0.333333,6
9895,3,8,0.272727,0.727273,11
9897,5,35,0.125000,0.875000,40
1706,24,21,0.533333,0.466667,45
1710,1,0,1.000000,0.000000,1
9906,15,2,0.882353,0.117647,17
9907,1,3,0.250000,0.750000,4
9910,14,7,0.666667,0.333333,21
9911,5,10,0.333333,0.666667,15
9914,11,1,0.916667,0.083333,12
8479,0,5,0.000000,1.000000,5
9921,2,2,0.500000,0.500000,4
