id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
1000682,2,0,1.000000,0.000000,2
1002744,6,3,0.666667,0.333333,9
1000698,2,3,0.400000,0.600000,5
1002749,32,4,0.888889,0.111111,36
1002752,10,8,0.555556,0.444444,18
1000724,2,1,0.666667,0.333333,3
1002713,3,1,0.750000,0.250000,4
1000731,3,0,1.000000,0.000000,3
1002782,2,1,0.666667,0.333333,3
1000736,4,0,1.000000,0.000000,4
1002785,8,0,1.000000,0.000000,8
1000739,18,7,0.720000,0.280000,25
1000744,34,21,0.618182,0.381818,55
1000746,4,1,0.800000,0.200000,5
1000748,14,10,0.583333,0.416667,24
1000750,12,8,0.600000,0.400000,20
1002376,2,0,1.000000,0.000000,2
1000755,2,5,0.285714,0.714286,7
1002111,2,0,1.000000,0.000000,2
1000765,50,13,0.793651,0.206349,63
1000769,5,0,1.000000,0.000000,5
1002820,4,2,0.666667,0.333333,6
1002821,9,3,0.750000,0.250000,12
1000774,2,4,0.333333,0.666667,6
1002829,2,0,1.000000,0.000000,2
1002831,3,2,0.600000,0.400000,5
1000787,2,0,1.000000,0.000000,2
1002838,2,1,0.666667,0.333333,3
1000794,2,0,1.000000,0.000000,2
1002848,13,5,0.722222,0.277778,18
1002849,3,3,0.500000,0.500000,6
1002853,13,4,0.764706,0.235294,17
1000809,41,15,0.732143,0.267857,56
1002727,2,0,1.000000,0.000000,2
1000816,2,1,0.666667,0.333333,3
1002865,3,2,0.600000,0.400000,5
1000818,20,14,0.588235,0.411765,34
1000823,22,8,0.733333,0.266667,30
1002730,2,1,0.666667,0.333333,3
1000835,64,17,0.790123,0.209877,81
1000837,2,0,1.000000,0.000000,2
1000842,2,0,1.000000,0.000000,2
1000844,35,3,0.921053,0.078947,38
1002051,8,3,0.727273,0.272727,11
1000859,3,0,1.000000,0.000000,3
1000861,7,2,0.777778,0.222222,9
1000868,3,0,1.000000,0.000000,3
1002251,2,0,1.000000,0.000000,2
1000873,4,2,0.666667,0.333333,6
1000876,2,0,1.000000,0.000000,2
1000881,58,36,0.617021,0.382979,94
1002930,3,9,0.250000,0.750000,12
1002932,9,2,0.818182,0.181818,11
1000901,60,24,0.714286,0.285714,84
1002060,4,2,0.666667,0.333333,6
1002402,1,0,1.000000,0.000000,1
1000913,2,0,1.000000,0.000000,2
1002064,2,1,0.666667,0.333333,3
1002253,4,1,0.800000,0.200000,5
1000935,65,34,0.656566,0.343434,99
1000936,24,16,0.600000,0.400000,40
1002526,3,2,0.600000,0.400000,5
1000944,4,0,1.000000,0.000000,4
1002068,27,14,0.658537,0.341463,41
1000957,4,0,1.000000,0.000000,4
1000964,2,0,1.000000,0.000000,2
1000972,39,3,0.928571,0.071429,42
1000973,29,25,0.537037,0.462963,54
1002413,2,0,1.000000,0.000000,2
1000977,26,12,0.684211,0.315789,38
1002255,1,0,1.000000,0.000000,1
1000993,6,3,0.666667,0.333333,9
1001001,19,3,0.863636,0.136364,22
1001004,7,2,0.777778,0.222222,9
1001005,8,3,0.727273,0.272727,11
1002125,12,5,0.705882,0.294118,17
1002078,1,0,1.000000,0.000000,1
1002080,3,2,0.600000,0.400000,5
1001026,39,39,0.500000,0.500000,78
1002081,2,0,1.000000,0.000000,2
1001035,12,1,0.923077,0.076923,13
