id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur
1000964,2,0,1.000000,0.000000
1000971,475,236,0.668073,0.331927
1000972,39,3,0.928571,0.071429
1000973,29,25,0.537037,0.462963
1002413,2,0,1.000000,0.000000
1000977,26,12,0.684211,0.315789
1002255,1,0,1.000000,0.000000
1000993,6,3,0.666667,0.333333
1001001,19,3,0.863636,0.136364
1001004,7,2,0.777778,0.222222
1001005,8,3,0.727273,0.272727
1002125,12,5,0.705882,0.294118
1002078,1,0,1.000000,0.000000
1002080,3,2,0.600000,0.400000
1001026,39,39,0.500000,0.500000
1002081,2,0,1.000000,0.000000
1001032,331,241,0.578671,0.421329
1001035,12,1,0.923077,0.076923
1001039,16,17,0.484848,0.515152
1001040,16,18,0.470588,0.529412
1001053,76,78,0.493506,0.506494
1001058,9,19,0.321429,0.678571
1001065,15,2,0.882353,0.117647
1001069,1,3,0.250000,0.750000
1001079,52,15,0.776119,0.223881
1001080,15,8,0.652174,0.347826
1001081,2,0,1.000000,0.000000
1002092,2,0,1.000000,0.000000
1002054,36,30,0.545455,0.454545
1001102,2,0,1.000000,0.000000
1002093,49,39,0.556818,0.443182
1002435,4,1,0.800000,0.200000
1001114,1,0,1.000000,0.000000
1001121,2,0,1.000000,0.000000
1002097,0,2,0.000000,1.000000
1001130,4,3,0.571429,0.428571
1001132,56,33,0.629213,0.370787
1001133,140,134,0.510949,0.489051
1001141,85,62,0.578231,0.421769
1001143,101,67,0.601190,0.398810
1002192,42,7,0.857143,0.142857
1001156,30,19,0.612245,0.387755
1001163,13,1,0.928571,0.071429
1001168,2,3,0.400000,0.600000
1001184,6,0,1.000000,0.000000
1001186,5,3,0.625000,0.375000
1001187,11,4,0.733333,0.266667
1001190,258,132,0.661538,0.338462
1000401,0,5,0.000000,1.000000
1001195,33,8,0.804878,0.195122
1001198,17,3,0.850000,0.150000
1001203,8,4,0.666667,0.333333
1001210,2,0,1.000000,0.000000
1001211,61,4,0.938462,0.061538
1001212,2,0,1.000000,0.000000
1001221,5,2,0.714286,0.285714
1002113,110,70,0.611111,0.388889
1001229,4,1,0.800000,0.200000
1001237,4,1,0.800000,0.200000
1001239,2,2,0.500000,0.500000
1001240,2,2,0.500000,0.500000
1002116,65,59,0.524194,0.475806
1001245,6,3,0.666667,0.333333
1001246,17,3,0.850000,0.150000
1001248,5,4,0.555556,0.444444
1002122,45,14,0.762712,0.237288
